EPI_ISL_899811|hCoV-19/Switzerland/TG-ETHZ-430946/2020|2020-12-27|Switzerland	2020-12-27
EPI_ISL_448632|hCoV-19/England/OXON-ADD3B/2020|2020|England	2020
EPI_ISL_456014|hCoV-19/USA/NY-NYUMC777/2020|2020-03-27|USA	2020-03-27
EPI_ISL_491712|hCoV-19/England/202881376/2020|2020-06-09|England	2020-06-09
EPI_ISL_528687|hCoV-19/UnitedArabEmirates/13/2020|2020-05-05|UnitedArabEmirates	2020-05-05
EPI_ISL_510762|hCoV-19/Switzerland/AG-ETHZ-210015/2020|2020-07-20|Switzerland	2020-07-20
EPI_ISL_925727|hCoV-19/Canada/ON-PHL-20-80798/2020|2020-04|Canada	2020-04
EPI_ISL_489301|hCoV-19/NorthernIreland/NIRE-101B76/2020|2020-05-12|NorthernIreland	2020-05-12
EPI_ISL_956311|hCoV-19/Indonesia/JI-ITDua-17047NTv/2020|2020-07-16|Indonesia	2020-07-16
EPI_ISL_425748|hCoV-19/Scotland/CVR222/2020|2020-03-19|Scotland	2020-03-19
EPI_ISL_437319|hCoV-19/Turkey/HSGM-1490/2020|2020-03-19|Turkey	2020-03-19
EPI_ISL_559475|hCoV-19/England/ALDP-4A4574/2020|2020-06-03|England	2020-06-03
EPI_ISL_861338|hCoV-19/USA/NY-Wadsworth-21006079-01/2021|2021-01-09|USA	2021-01-09
EPI_ISL_444466|hCoV-19/India/GJ-GBRC35/2020|2020-04-29|India	2020-04-29
EPI_ISL_667661|hCoV-19/Japan/IC-0232/2020|2020-08|Japan	2020-08
EPI_ISL_789755|hCoV-19/USA/TX-HMH-MCoV-11268/2020|2020-09-04|USA	2020-09-04
EPI_ISL_418321|hCoV-19/England/SHEF-BFFE5/2020|2020-03-25|England	2020-03-25
EPI_ISL_776239|hCoV-19/Germany/HH-hpi-p1900/2020|2020-03-24|Germany	2020-03-24
EPI_ISL_785492|hCoV-19/USA/TX-HMH-MCoV-15808/2020|2020-07-09|USA	2020-07-09
EPI_ISL_849670|hCoV-19/Australia/QLD1313/2020|2020-03-22|Australia	2020-03-22
EPI_ISL_911245|hCoV-19/Ireland/LD-NVRL-83IRL12263/2021|2021-01-11|Ireland	2021-01-11
EPI_ISL_956276|hCoV-19/Indonesia/JI-ITDua-13686NTv/2020|2020-06-24|Indonesia	2020-06-24
EPI_ISL_741073|hCoV-19/England/CAMC-B79FCE/2020|2020-11-12|England	2020-11-12
EPI_ISL_803925|hCoV-19/Japan/IC-0621/2020|2020-11|Japan	2020-11
EPI_ISL_437496|hCoV-19/SaudiArabia/KAUST-Jeddah59/2020|2020-03-25|SaudiArabia	2020-03-25
EPI_ISL_673575|hCoV-19/England/CAMC-B99EBC/2020|2020-11-15|England	2020-11-15
EPI_ISL_684136|hCoV-19/Japan/PG-0177/2020|2020-03|Japan	2020-03
EPI_ISL_744723|hCoV-19/Luxembourg/LNS8340264/2020|2020-03-20|Luxembourg	2020-03-20
EPI_ISL_432766|hCoV-19/England/SHEF-C3212/2020|2020-04-03|England	2020-04-03
EPI_ISL_603238|hCoV-19/Bangladesh/BCSIR-NILMRC_393/2020|2020-10-14|Bangladesh	2020-10-14
EPI_ISL_685002|hCoV-19/Japan/PG-1395/2020|2020-04|Japan	2020-04
EPI_ISL_718170|hCoV-19/Malaysia/UNIMAS-15729/2020|2020-10-28|Malaysia	2020-10-28
EPI_ISL_425359|hCoV-19/England/CAMB-74C30/2020|2020-03-17|England	2020-03-17
EPI_ISL_662635|hCoV-19/England/CAMC-B53470/2020|2020-11-08|England	2020-11-08
EPI_ISL_728182|hCoV-19/Singapore/1446/2020|2020-12-06|Singapore	2020-12-06
EPI_ISL_754101|hCoV-19/Singapore/1492/2020|2020-12-22|Singapore	2020-12-22
EPI_ISL_439299|hCoV-19/Scotland/EDB3627/2020|2020-04-27|Scotland	2020-04-27
EPI_ISL_940958|hCoV-19/USA/PR-CDC-S85/2020|2020-08-28|USA	2020-08-28
EPI_ISL_708815|hCoV-19/Thailand/Bangkok-14712/2020|2020-09-24|Thailand	2020-09-24
EPI_ISL_888979|hCoV-19/Indonesia/JK-EIJK132/2021|2021-01-06|Indonesia	2021-01-06
EPI_ISL_560981|hCoV-19/Sweden/20-08946/2020|2020-08-09|Sweden	2020-08-09
EPI_ISL_606394|hCoV-19/England/MILK-A7C72E/2020|2020-10-15|England	2020-10-15
EPI_ISL_837296|hCoV-19/Italy/CAM-TIGEM-1002/2020|2020-09-15|Italy	2020-09-15
EPI_ISL_538963|hCoV-19/England/LEED-2A9DA6/2020|2020-03-26|England	2020-03-26
EPI_ISL_638527|hCoV-19/England/MILK-A91495/2020|2020-10-16|England	2020-10-16
EPI_ISL_578509|hCoV-19/USA/WI-WSLH-200328/2020|2020-04-21|USA	2020-04-21
EPI_ISL_875861|hCoV-19/Canada/ON-PHL-21-00212/2020|2020-12|Canada	2020-12
EPI_ISL_966220|hCoV-19/Canada/ON-PHL-20-80436/2020|2020-04|Canada	2020-04
EPI_ISL_432790|hCoV-19/England/SHEF-C45BE/2020|2020-04-01|England	2020-04-01
EPI_ISL_676250|hCoV-19/England/MILK-B95C01/2020|2020-11-14|England	2020-11-14
EPI_ISL_768722|hCoV-19/Japan/IC-0513/2020|2020-12|Japan	2020-12
EPI_ISL_429157|hCoV-19/Sweden/20-50234/2020|2020-03-10|Sweden	2020-03-10
EPI_ISL_547495|hCoV-19/Netherlands/NH-RIVM-10062/2020|2020-04-03|Netherlands	2020-04-03
EPI_ISL_631818|hCoV-19/USA/NY-NYCPHL-000292/2020|2020-03-20|USA	2020-03-20
EPI_ISL_702288|hCoV-19/England/CAMC-BD1E9A/2020|2020-11-28|England	2020-11-28
EPI_ISL_423067|hCoV-19/England/20134005104/2020|2020-03-24|England	2020-03-24
EPI_ISL_623358|hCoV-19/England/MILK-ABB468/2020|2020-10-21|England	2020-10-21
EPI_ISL_629407|hCoV-19/England/MILK-AC7CBC/2020|2020-10-21|England	2020-10-21
EPI_ISL_710637|hCoV-19/Scotland/QEUH-BEB1C1/2020|2020-12-04|Scotland	2020-12-04
EPI_ISL_433758|hCoV-19/England/CAMB-7864D/2020|2020-04-05|England	2020-04-05
EPI_ISL_487570|hCoV-19/England/BRIS-12B3C9/2020|2020-05-01|England	2020-05-01
EPI_ISL_595797|hCoV-19/England/QEUH-9FA2BF/2020|2020-09-25|England	2020-09-25
EPI_ISL_942960|hCoV-19/Indonesia/JK-NIHRD-C002100528/2021|2021-01-04|Indonesia	2021-01-04
EPI_ISL_548796|hCoV-19/Canada/ON-PHL-20-01174/2020|2020-06|Canada	2020-06
EPI_ISL_602411|hCoV-19/Russia/SPE-RII-MH2083S/2020|2020-09-22|Russia	2020-09-22
EPI_ISL_876624|hCoV-19/Canada/ON-SC0212/2020|2020-08-07|Canada	2020-08-07
EPI_ISL_956277|hCoV-19/Indonesia/JI-ITDua-17563Nv/2020|2020-07-20|Indonesia	2020-07-20
EPI_ISL_667646|hCoV-19/Japan/IC-0217/2020|2020-07|Japan	2020-07
EPI_ISL_668418|hCoV-19/Norway/4884/2020|2020-10-18|Norway	2020-10-18
EPI_ISL_645232|hCoV-19/England/CAMC-B37032/2020|2020-11-05|England	2020-11-05
EPI_ISL_667643|hCoV-19/Japan/IC-0214/2020|2020-07|Japan	2020-07
EPI_ISL_979972|hCoV-19/Ukraine/Rivne_55/2020|2020-06-04|Ukraine	2020-06-04
EPI_ISL_547444|hCoV-19/Gibraltar/203360729/2020|2020-07-21|Gibraltar	2020-07-21
EPI_ISL_679670|hCoV-19/England/MILK-B39E27/2020|2020-11-01|England	2020-11-01
EPI_ISL_776325|hCoV-19/Germany/HH-hpi-p2021/2020|2020-03-21|Germany	2020-03-21
EPI_ISL_418581|hCoV-19/Ireland/D-NVRL-22428/2020|2020-03-08|Ireland	2020-03-08
EPI_ISL_727985|hCoV-19/England/SHEF-10D73E8/2020|2020-12-01|England	2020-12-01
EPI_ISL_589277|hCoV-19/England/ALDP-9ED185/2020|2020-05-05|England	2020-05-05
EPI_ISL_656979|hCoV-19/England/MILK-B568F9/2020|2020-11-06|England	2020-11-06
EPI_ISL_751769|hCoV-19/USA/MI-CDC-2-3714072/2020|2020-11-07|USA	2020-11-07
EPI_ISL_481126|hCoV-19/India/OR-ILSCV28594/2020|2020-05-22|India	2020-05-22
EPI_ISL_861718|hCoV-19/Malaysia/HPUPM_ML5726/2020|2020-10-20|Malaysia	2020-10-20
EPI_ISL_488230|hCoV-19/England/BRIS-12F240/2020|2020-04-13|England	2020-04-13
EPI_ISL_734960|hCoV-19/Belgium/rega-0916970/2020|2020-09-16|Belgium	2020-09-16
EPI_ISL_427307|hCoV-19/Russia/StPetersburg-RII4144S/2020|2020-03-20|Russia	2020-03-20
EPI_ISL_981808|hCoV-19/Switzerland/GE-33158701/2021|2021-02-03|Switzerland	2021-02-03
EPI_ISL_432727|hCoV-19/England/SHEF-C1645/2020|2020-04-01|England	2020-04-01
EPI_ISL_737036|hCoV-19/Finland/S24C2/2020|2020-08-10|Finland	2020-08-10
EPI_ISL_862394|hCoV-19/India/AP-CS0815/2020|2020-07-29|India	2020-07-29
EPI_ISL_591446|hCoV-19/Japan/IC-0105/2020|2020-07|Japan	2020-07
EPI_ISL_455463|hCoV-19/Jiujiang/JX490/2020|2020-02-03|Jiujiang	2020-02-03
EPI_ISL_569802|hCoV-19/Russia/OMS-ORINFI-61S/2020|2020-05-14|Russia	2020-05-14
EPI_ISL_891219|hCoV-19/India/RJ-SMS-SQ-9/2020|2020-12-28|India	2020-12-28
EPI_ISL_635953|hCoV-19/USA/CA-ALSR-3293/2020|2020-09-20|USA	2020-09-20
EPI_ISL_882740|hCoV-19/Italy/CAM-CRGS-228/2020|2020-10-15|Italy	2020-10-15
EPI_ISL_419885|hCoV-19/Australia/VIC189/2020|2020-03-19|Australia	2020-03-19
